Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,2018-04-29 02:22:22+00:00,1.0,0.0,0.0,"RT @CNN: Former White House Communications Director Anthony Scaramucci says President Trump ""probably has a conflicted view of the media at…",70,@CNN
0.625,2018-04-29 02:22:22+00:00,0.805,0.0,0.195,"RT @CNN: ""Cheers to the First Amendment,"" says House Speaker Paul Ryan in a video that starts with light-hearted jokes, and ends with a toa…",71,@CNN
0.0,2018-04-29 02:22:22+00:00,1.0,0.0,0.0,"Exactly! What say u, @DNC @HillaryClinton @CNN @MSNBC @ABC @CBS @nbc @nytimes @washingtonpost @NewYorker??? @POTUS… https://t.co/Gf545TUq5B",72,@CNN
0.318,2018-04-29 02:22:21+00:00,0.887,0.0,0.113,"RT @cactuspete: @DeniseMichael69 @KyleKashuv @IngaZorin111 Curious how you don’t apply the same standards to @davidhogg111 , you know him ,…",73,@CNN
-0.735,2018-04-29 02:22:21+00:00,0.772,0.228,0.0,"RT @CNN: ""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White House Correspondents' Associatio…",74,@CNN
0.0,2018-04-29 02:22:21+00:00,1.0,0.0,0.0,@CNN 박근혜 전 대통령 임기 동안 친박과 행정원들은 너희들 그 더러운 양심을 들여다 보아란 말이다. 나라꼴을 어떻게 만들어 놓았는지 말이다.!!!!!!!https://t.co/OOybFxDXre … +실… https://t.co/quGE73jGEl,75,@CNN
0.0,2018-04-29 02:22:21+00:00,1.0,0.0,0.0,RT @Thelast_try: @CNN Ryan barely flinched when he said it,76,@CNN
-0.511,2018-04-29 02:22:21+00:00,0.677,0.227,0.096,@Magicman613 @lysine69 @CNN Poor misinformed man.. The money giving to Iran was their own money frozen in US banks… https://t.co/qbRUGhArRS,77,@CNN
0.0,2018-04-29 02:22:19+00:00,1.0,0.0,0.0,"RT @CNN: The crowd in Washington Township, Michigan, chants ""Nobel! Nobel!"" as President Trump talks North Korea https://t.co/pJhuHcdHYU ht…",78,@CNN
-0.052,2018-04-29 02:22:19+00:00,0.798,0.105,0.097,RT @almostjingo: The same week @CNN @MSNBC @maddow @ABC @CBSNews smear a Veteran and @USNavy Admiral based on fabricated and unverified acc…,79,@CNN
0.402,2018-04-29 02:22:19+00:00,0.649,0.0,0.351,"@CNN Yes, confirms you are #veryfakenews",80,@CNN
0.202,2018-04-29 02:22:19+00:00,0.793,0.09,0.117,RT @VABVOX: Imagining how upset Trump will be at @CNN winning for breaking the story of Trump being compromised by Russia makes it extra sw…,81,@CNN
-0.769,2018-04-29 02:22:19+00:00,0.73,0.27,0.0,@0ddteen @CNN @realDonaldTrump He was never invited!! Honestly he haven't been right since his mother died. If he h… https://t.co/AW14X4rJgi,82,@CNN
0.0,2018-04-29 02:22:18+00:00,1.0,0.0,0.0,RT @asmaquaw: @CNN Kanye gets it https://t.co/h4pklxZL1s,83,@CNN
0.778,2018-04-29 02:22:18+00:00,0.755,0.0,0.245,"RT @CNN: ""Daily Show"" comedian Hasan Minhaj spoke at the White House correspondents' dinner last year. Here's a look back at his best jokes…",84,@CNN
0.0,2018-04-29 02:22:17+00:00,1.0,0.0,0.0,@CNN The rhino went?,85,@CNN
0.0,2018-04-29 02:22:16+00:00,1.0,0.0,0.0,@CNN I know you guys don't read twitter replies but for hell's sake maybe you should've thought about this when you… https://t.co/fyogD5arz1,86,@CNN
0.0,2018-04-29 02:22:16+00:00,1.0,0.0,0.0,@CNN He is not a real president....no biggy!,87,@CNN
-0.527,2018-04-29 02:22:15+00:00,0.677,0.226,0.098,"RT @kazweida: Dear @CNN ,

Stop sending me notifications about the nationalist bullshit our banana republic dictator is spouting to a sea o…",88,@CNN
0.0,2018-04-29 02:22:14+00:00,1.0,0.0,0.0,"Priceless.
@CNN @MSNBC @ABC @CBSNews @NBCNews https://t.co/qEMU65nCW3",89,@CNN
0.0,2018-04-29 02:22:13+00:00,1.0,0.0,0.0,"RT @CNN: JUST IN: Newly published emails indicate that Natalia Veselnitskaya, the Russian lawyer who met with Trump campaign associates in…",90,@CNN
0.0,2018-04-29 02:22:13+00:00,1.0,0.0,0.0,@CNN Ryan barely flinched when he said it,91,@CNN
-0.178,2018-04-29 02:22:12+00:00,0.747,0.139,0.114,RT @CNN: This is the moment Moon Jae-in and Kim Jong Un signed an agreement pledging to end the Korean War https://t.co/9kd0mpKc6B https://…,92,@CNN
0.0,2018-04-29 02:22:11+00:00,1.0,0.0,0.0,"RT @CNN: ""US presidents have attended this dinner nearly every year since Calvin Coolidge's days. And that's a tradition we believe will wi…",93,@CNN
0.422,2018-04-29 02:22:11+00:00,0.891,0.0,0.109,"RT @wkamaubell: In this clip from tomorrow night's season premiere of United Shades of America, I explain in less than 30 seconds why you c…",94,@CNN
